kernel                                                 instr  narrow   loads     ds     mac   vgpr  th_max     smem
kernel_mul_mv_iq2_s_f32                                 3375      32      41    129     137    208     768        0
kernel_mul_mv_iq2_xs_f32                                1988       7      16     74      16    251     576        0
kernel_mul_mv_iq2_xxs_f32                               1560      11      20     74      14    251     640        0
kernel_mul_mv_iq3_s_f32                                 1607      30      39     65     205    208     512        0
kernel_mul_mv_iq3_xxs_f32                               1357      21      30     74     110    251     576        0
kernel_mul_mv_iq4_nl_f32                                 642       8      13     33      35    208    1024        0
kernel_mul_mv_iq4_xs_f32                                 646       2      11     33      36    236     768        0
kernel_mul_mv_mxfp4_f32                                  644       4       9     33      33    187    1024        0
kernel_mul_mv_q1_0_f32                                  1121       8      12      0      20    184     768        0
kernel_mul_mv_q2_0_f32                                  1651       8      12      0      22    183     512        0
kernel_mul_mv_q2_K_f32                                  1035      12      30      0     148    183     576        0
kernel_mul_mv_q3_K_f32                                   716      10      22      0      43    184     576        0
kernel_mul_mv_q4_0_f32                                   648       0       4      0      66    183     768        0
kernel_mul_mv_q4_1_f32                                   659       8      12      0      66    183     640        0
kernel_mul_mv_q4_K_f32                                   656       0      19      0      79    183     768        0
kernel_mul_mv_q4_K_f32_r4                                995       0      30      0     149    206     576        0
kernel_mul_mv_q5_0_f32                                   871       8      12      0      67    184     576        0
kernel_mul_mv_q5_1_f32                                   875       8      16      0      63    184     640        0
kernel_mul_mv_q5_K_f32                                   648       4      25      0      43    184     640        0
kernel_mul_mv_q6_K_f32                                   586       1      15      0      37    183    1024        0
kernel_mul_mv_q8_0_f32                                   422       2       4      5      24    183    1024        0
