kernel                                                 instr   loads     ds     mac   vgpr  th_max     smem
vec_amd_dk256_kturbo3_vturbo2_w64_wg32                  1161      49      8      38    248     576    33536
vec_amd_dk256_kturbo3_vturbo2_wg32                      1160      49      8      38    248     576    33536
vec_amd_dk256_kturbo3_vturbo3                           1146      53      8      40    248     576    33536
vec_amd_dk256_kturbo3_vturbo3_w64                       1147      53      8      40    248     576    33536
vec_amd_dk256_kturbo3_vturbo3_w64_wg32                  1198      53      8      42    248     576    33536
vec_amd_dk256_kturbo3_vturbo3_wg32                      1197      53      8      42    248     576    33536
vec_amd_dk256_kturbo3_vturbo4                           1130      53      8      42    252     512    33536
vec_amd_dk256_kturbo3_vturbo4_w64                       1131      53      8      42    252     512    33536
vec_amd_dk256_kturbo3_vturbo4_w64_wg32                  1176      53      8      38    252     576    33536
vec_amd_dk256_kturbo3_vturbo4_wg32                      1175      53      8      38    252     576    33536
vec_amd_dk256_kturbo4_vf16                              1010      29      8      46    252     576    33536
vec_amd_dk256_kturbo4_vf16_w64                          1011      29      8      46    252     576    33536
vec_amd_dk256_kturbo4_vf16_w64_wg32                     1018      29      8      42    252     576    33536
vec_amd_dk256_kturbo4_vf16_wg32                         1017      29      8      42    252     576    33536
vec_amd_dk256_kturbo4_vq8_0                             1047      45      8      42    252     576    33536
vec_amd_dk256_kturbo4_vq8_0_w64                         1048      45      8      42    252     576    33536
vec_amd_dk256_kturbo4_vq8_0_w64_wg32                    1086      45      8      38    252     576    33536
vec_amd_dk256_kturbo4_vq8_0_wg32                        1085      45      8      38    252     576    33536
vec_amd_dk256_kturbo4_vturbo2                           1082      49      8      42    252     576    33536
vec_amd_dk256_kturbo4_vturbo2_w64                       1083      49      8      42    252     576    33536
vec_amd_dk256_kturbo4_vturbo2_w64_wg32                  1130      49      8      38    252     576    33536
vec_amd_dk256_kturbo4_vturbo2_wg32                      1129      49      8      38    252     576    33536
vec_amd_dk256_kturbo4_vturbo3                           1122      53      8      42    252     512    33536
vec_amd_dk256_kturbo4_vturbo3_w64                       1123      53      8      42    252     512    33536
vec_amd_dk256_kturbo4_vturbo3_w64_wg32                  1170      53      8      38    252     512    33536
vec_amd_dk256_kturbo4_vturbo3_wg32                      1169      53      8      38    252     512    33536
vec_amd_dk256_kturbo4_vturbo4                           1089      53      8      38    252     576    33536
vec_amd_dk256_kturbo4_vturbo4_w64                       1090      53      8      38    252     576    33536
vec_amd_dk256_kturbo4_vturbo4_w64_wg32                  1137      53      8      43    252     576    33536
vec_amd_dk256_kturbo4_vturbo4_wg32                      1137      53      8      43    252     576    33536
vec_amd_dk384_kf16_vturbo2                               914      19      7      43    232     768    24960
vec_amd_dk384_kf16_vturbo2_w64                           950      19      7      37    232     640    24960
vec_amd_dk384_kf16_vturbo3                               967      22      7      38    248     640    24960
vec_amd_dk384_kf16_vturbo3_w64                           978      22      7      38    248     640    24960
vec_amd_dk384_kf16_vturbo4                               925      23      7      40    252     640    24960
vec_amd_dk384_kf16_vturbo4_w64                           946      22      7      37    252     640    24960
vec_amd_dk384_kq8_0_vturbo2                              949      31      7      35    232     640    24960
