kernel                                                 instr  narrow   loads     ds     mac   vgpr  th_max     smem
kernel_mul_mv_id_q5_K_f32                                761       4      25      0       2    234     512        0
kernel_mul_mv_id_q6_K_f32                                619      14      22      0       1    238     768        0
kernel_mul_mv_id_q8_0_f32                                535       2       4      5       1    228    1024        0
kernel_mul_mv_iq1_m_f32                                 3257      40      59      0       7    184     768        0
kernel_mul_mv_iq1_s_f32                                 3111      28      38      0       6    231     512        0
kernel_mul_mv_iq2_s_f32                                 3152      16      26      9       2    251     512        0
kernel_mul_mv_iq2_xs_f32                                2187       7      16     46       4    241     768        0
kernel_mul_mv_iq2_xxs_f32                               1625      11      20     18       2    241     768        0
kernel_mul_mv_iq3_s_f32                                 1784      30      39     65      18    220     512        0
kernel_mul_mv_iq3_xxs_f32                               1474      21      30     74       2    241     512        0
kernel_mul_mv_iq4_nl_f32                                 667       8      13     33       4    228    1024        0
kernel_mul_mv_iq4_xs_f32                                 691       2      11     33       4    228     768        0
kernel_mul_mv_mxfp4_f32                                  676       4       9     33       4    224    1024        0
kernel_mul_mv_q1_0_f32                                  1130       8      12      0      11    192     512        0
kernel_mul_mv_q2_0_f32                                  1671       8      12      0       3    183    1024        0
kernel_mul_mv_q2_K_f32                                  1047      12      30      0      21    183     768        0
kernel_mul_mv_q3_K_f32                                   711      10      22      0      16    224     512        0
kernel_mul_mv_q4_0_f32                                   635       0       4      0       5    183     512        0
kernel_mul_mv_q4_1_f32                                   648       8      12      0       1    183     512        0
kernel_mul_mv_q4_K_f32_r4                               1008       0      30      0      27    238     768        0
kernel_mul_mv_q5_0_f32                                   852       8      12      0       7    184     768        0
kernel_mul_mv_q5_1_f32                                   858       8      16      0       1    184     768        0
kernel_mul_mv_q5_K_f32                                   634       4      25      0       7    184     512        0
kernel_mul_mv_q6_K_f32                                   498      14      22      0       4    183     768        0
kernel_mul_mv_q8_0_f32                                   415       2       4      5       1    183    1024        0
