kernel                                                         instr  narrow   loads     ds     mac   vgpr  th_max     smem
kernel_flash_attn_ext_vec_amd_dk128_kq8_0_vq8_0_w64             1007      33      37      8      21    233     512    34304
kernel_flash_attn_ext_vec_amd_dk128_kturbo3_vturbo3_w64         1221      17      53      8      21    248     512    34304
kernel_flash_attn_ext_vec_amd_dk128_kturbo4_vturbo4_w64         1140      17      53      8       5    252     512    34304
kernel_flash_attn_ext_vec_amd_dk256_kf16_vf16_w64                901       1       5      8      22    223     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kf16_vf16_w64_wg32           943       1       6      8      24    187     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kf16_vq4_0_w64              1025       5      10      8      35    187     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kf16_vq4_0_w64_wg32         1074       5       9      8      34    230     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kf16_vq8_0_w64               975      17      21      8      24    187     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kf16_vq8_0_w64_wg32         1034      17      21      8      22    189     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kq4_0_vf16_w64              1025       5      10      8      35    187     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kq4_0_vf16_w64_wg32         1074       5       9      8      34    230     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kq4_0_vq4_0_w64             1125       9      13      8      45    210     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kq4_0_vq4_0_w64_wg32        1167       9      13      8      46    206     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kq4_0_vq8_0_w64             1124      21      25      8      33    187     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kq4_0_vq8_0_w64_wg32        1166      21      25      8      34    206     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kq8_0_vf16_w64               975      17      21      8      24    187     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kq8_0_vf16_w64_wg32         1034      17      21      8      22    189     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kq8_0_vq4_0_w64             1124      21      25      8      33    187     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kq8_0_vq4_0_w64_wg32        1167      21      25      8      34    206     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kq8_0_vq8_0_w64             1050      33      37      8      21    205     512    33536
kernel_flash_attn_ext_vec_amd_dk256_kq8_0_vq8_0_w64_wg32        1092      33      37      8      22    252     512    33536
kernel_flash_attn_ext_vec_amd_dk384_kturbo3_vturbo3_w64         1144      13      40      7      17    248     512    24960
kernel_flash_attn_ext_vec_amd_dk384_kturbo4_vturbo4_w64         1053      13      40      7       6    252     768    24960
kernel_flash_attn_ext_vec_amd_dk512_kf16_vf16_w64                924       1       5      8      22    227     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kf16_vf16_w64_wg32           958       1       5      8      23    240     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kf16_vq4_0_w64              1044       5       9      8      35    187     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kf16_vq4_0_w64_wg32         1089       5       9      8      34    245     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kf16_vq8_0_w64               991      17      21      8      25    187     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kf16_vq8_0_w64_wg32         1041      17      21      8      22    196     512    33152
kernel_flash_attn_ext_vec_amd_dk512_kq4_0_vf16_w64              1036       5       9      8      35    187     512    33152
